"Index","Value","Count"
9,"Car",2712270
1,"Pedal cycle",205344
19,"Van / Goods 3.5 tonnes mgw or under",160660
11,"Bus or coach (17 or more pass seats)",103644
5,"Motorcycle over 500cc",99694
3,"Motorcycle 125cc and under",82091
21,"Goods 7.5 tonnes mgw and over",68736
8,"Taxi/Private hire car",67282
2,"Motorcycle 50cc and under",40429
4,"Motorcycle over 125cc and up to 500cc",29334
90,"Other vehicle",27660
20,"Goods over 3.5t. and under 7.5t",25262
10,"Minibus (8 - 16 passenger seats)",12940
17,"Agricultural vehicle",6909
16,"Ridden horse",1427
98,"Goods vehicle - unknown weight",1033
22,"Mobility scooter",692
97,"Motorcycle - unknown cc",581
-1,"Data missing or out of range",533
18,"Tram",308
23,"Electric motorcycle",30
